epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,414.052,2.39405,7.46355,2.814,0.22798,0.12942,0.02946,0.00577,3.43657,9.63917,4.41074,0.000325,0.000325,0.067825
2,442.801,1.99435,3.40339,2.45627,0.26741,0.31627,0.12993,0.03433,2.96778,10.3005,3.38215,0.00065615,0.00065615,0.0348228
3,471.467,1.89374,3.17404,2.34299,0.4563,0.19887,0.09367,0.02748,2.75123,8.49661,3.65165,0.000985089,0.000985089,0.00181842
4,500.012,1.87848,3.093,2.30612,0.56793,0.22253,0.19991,0.06273,2.67297,5.02526,3.13201,0.00099005,0.00099005,0.00099005
5,528.704,1.86864,3.02183,2.30425,0.35669,0.2921,0.15077,0.04623,2.53002,4.72313,2.88766,0.000986733,0.000986733,0.000986733
6,557.108,1.83396,2.90044,2.2467,0.13532,0.21295,0.12766,0.03732,2.82773,4.74141,3.28187,0.000983417,0.000983417,0.000983417
7,585.632,1.78642,2.88414,2.19854,0.55752,0.439,0.43407,0.15278,2.28173,2.89798,2.39922,0.0009801,0.0009801,0.0009801
8,614.329,1.74868,2.74378,2.17237,0.50414,0.36068,0.33672,0.11573,2.36944,3.82201,2.49727,0.000976783,0.000976783,0.000976783
9,642.851,1.75816,2.82379,2.17975,0.36697,0.45546,0.39062,0.12436,2.43447,3.2954,2.55649,0.000973467,0.000973467,0.000973467
10,671.357,1.7429,2.76627,2.14868,0.41576,0.48113,0.39819,0.12641,2.36492,3.34022,2.48065,0.00097015,0.00097015,0.00097015
11,699.843,1.707,2.6821,2.128,0.51623,0.45813,0.41119,0.14674,2.27633,2.95726,2.36574,0.000966833,0.000966833,0.000966833
12,728.373,1.768,2.65717,2.1854,0.60248,0.44124,0.40676,0.13087,2.37192,3.45213,2.49689,0.000963517,0.000963517,0.000963517
13,756.752,1.74864,2.66248,2.17042,0.51191,0.32432,0.28769,0.09579,2.66144,3.82242,2.80085,0.0009602,0.0009602,0.0009602
14,785.14,1.69057,2.58893,2.10783,0.47053,0.52875,0.4806,0.15428,2.29297,2.99626,2.41539,0.000956883,0.000956883,0.000956883
15,813.758,1.69493,2.56444,2.12081,0.52393,0.58385,0.53259,0.19044,2.21451,2.96588,2.26742,0.000953567,0.000953567,0.000953567
16,842.361,1.70946,2.50413,2.10834,0.59493,0.5211,0.4996,0.19073,2.13671,2.96043,2.20756,0.00095025,0.00095025,0.00095025
17,871.04,1.65732,2.38364,2.05894,0.69376,0.42098,0.48253,0.16445,2.26367,2.96617,2.29448,0.000946933,0.000946933,0.000946933
18,899.431,1.67455,2.43383,2.08612,0.56029,0.56338,0.54952,0.20671,2.16923,2.49682,2.2392,0.000943617,0.000943617,0.000943617
19,928.015,1.66859,2.40623,2.08253,0.53996,0.50463,0.48975,0.16706,2.33067,2.67834,2.39506,0.0009403,0.0009403,0.0009403
20,956.427,1.64846,2.3674,2.04783,0.52634,0.55576,0.56193,0.19043,2.21722,2.55071,2.30752,0.000936983,0.000936983,0.000936983
21,984.87,1.6292,2.35198,2.05094,0.66667,0.44904,0.51928,0.1977,2.09273,2.44095,2.16218,0.000933667,0.000933667,0.000933667
22,1013.33,1.65672,2.44291,2.06254,0.68867,0.51563,0.54047,0.19053,2.06789,2.52319,2.18735,0.00093035,0.00093035,0.00093035
23,1041.77,1.66321,2.42557,2.0692,0.61609,0.42588,0.43221,0.14658,2.19455,2.91764,2.3931,0.000927033,0.000927033,0.000927033
24,1070.22,1.62189,2.37206,2.03883,0.61836,0.61367,0.62286,0.2306,2.10382,2.33576,2.16416,0.000923717,0.000923717,0.000923717
25,1098.88,1.63148,2.32914,2.03486,0.65673,0.49329,0.5016,0.20461,2.04246,2.45999,2.13535,0.0009204,0.0009204,0.0009204
26,1127.32,1.6636,2.31529,2.06142,0.71726,0.47098,0.5401,0.22134,2.01848,2.39092,2.11082,0.000917083,0.000917083,0.000917083
27,1155.8,1.61616,2.2917,2.02041,0.67571,0.4693,0.5014,0.1685,2.3037,2.49949,2.34114,0.000913767,0.000913767,0.000913767
28,1184.31,1.64918,2.30126,2.03935,0.55315,0.53167,0.55215,0.20465,2.14564,2.50347,2.18086,0.00091045,0.00091045,0.00091045
29,1212.79,1.61499,2.29666,2.01949,0.60397,0.61214,0.63185,0.23959,2.13086,2.23232,2.18286,0.000907133,0.000907133,0.000907133
30,1241.35,1.6014,2.22642,1.98618,0.54086,0.42582,0.41538,0.15674,2.50757,2.70692,2.5641,0.000903817,0.000903817,0.000903817
31,1269.79,1.60023,2.23098,1.98689,0.56987,0.63114,0.61482,0.23727,2.07881,2.26856,2.19126,0.0009005,0.0009005,0.0009005
32,1298.22,1.62635,2.3071,2.04027,0.49383,0.58718,0.54396,0.22631,2.00107,2.37079,2.1521,0.000897183,0.000897183,0.000897183
33,1326.66,1.6159,2.32945,2.02415,0.72347,0.52414,0.59457,0.24687,2.00003,2.31262,2.13874,0.000893867,0.000893867,0.000893867
34,1355.21,1.58813,2.25919,2.01241,0.61359,0.60021,0.57787,0.22924,2.06953,2.29699,2.11725,0.00089055,0.00089055,0.00089055
35,1383.59,1.61729,2.23288,2.03171,0.65988,0.52759,0.56376,0.21725,2.15473,2.40346,2.20892,0.000887233,0.000887233,0.000887233
36,1412.1,1.60332,2.23859,1.99755,0.5346,0.56145,0.55014,0.19185,2.26964,2.43654,2.33672,0.000883917,0.000883917,0.000883917
37,1440.53,1.60769,2.22131,2.00637,0.59546,0.56004,0.5675,0.21384,2.12827,2.48926,2.19682,0.0008806,0.0008806,0.0008806
38,1468.96,1.58752,2.20412,1.98944,0.53482,0.57539,0.56267,0.2185,2.0456,2.25554,2.10595,0.000877283,0.000877283,0.000877283
39,1497.43,1.56483,2.16939,1.98764,0.6517,0.62716,0.65256,0.26559,2.01849,2.16375,2.13017,0.000873967,0.000873967,0.000873967
40,1526.06,1.59233,2.17912,1.99748,0.49176,0.5102,0.48814,0.17498,2.31012,2.59408,2.42874,0.00087065,0.00087065,0.00087065
41,1554.5,1.56983,2.1545,1.9756,0.61088,0.65258,0.64614,0.27272,1.94921,2.21487,2.06161,0.000867333,0.000867333,0.000867333
42,1583.17,1.56866,2.14265,1.97788,0.56932,0.66104,0.61111,0.25545,1.99104,2.2997,2.08475,0.000864017,0.000864017,0.000864017
