epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5983,2.43936,7.82003,2.80352,0.39689,0.14121,0.04019,0.01163,3.31933,13.0849,3.94309,0.000325,0.000325,0.067825
2,59.14,2.00272,3.47223,2.45711,0.38329,0.32699,0.18188,0.06305,2.55669,5.74406,3.04821,0.00065615,0.00065615,0.0348228
3,87.8304,1.91744,3.18488,2.34847,0.28756,0.23453,0.1121,0.03678,3.00596,7.78089,3.90266,0.000985089,0.000985089,0.00181842
4,116.284,1.92232,3.14442,2.33746,0.42615,0.14243,0.05277,0.01398,2.89569,12.2972,3.50414,0.00099005,0.00099005,0.00099005
5,144.796,1.87157,2.97572,2.30966,0.31257,0.2186,0.11889,0.03407,2.74488,5.4561,2.92371,0.000986733,0.000986733,0.000986733
6,173.256,1.86344,2.88017,2.27522,0.43817,0.27001,0.23566,0.07839,2.73032,3.83094,3.05022,0.000983417,0.000983417,0.000983417
7,201.899,1.8629,2.97941,2.24339,0.52642,0.39322,0.34932,0.13007,2.41061,3.66746,2.49729,0.0009801,0.0009801,0.0009801
8,230.487,1.82477,2.87902,2.23271,0.42501,0.27493,0.24819,0.08966,2.62166,3.94674,2.78369,0.000976783,0.000976783,0.000976783
9,258.878,1.77899,2.81,2.18803,0.39277,0.38951,0.34141,0.12377,2.46025,3.34161,2.65136,0.000973467,0.000973467,0.000973467
10,287.351,1.79282,2.79588,2.16601,0.25698,0.4292,0.30335,0.10447,2.40516,3.29929,2.45046,0.00097015,0.00097015,0.00097015
11,315.774,1.75317,2.7999,2.14114,0.32906,0.49938,0.36166,0.12606,2.30675,3.30329,2.40767,0.000966833,0.000966833,0.000966833
12,344.169,1.74377,2.67637,2.11753,0.70483,0.43427,0.51142,0.21701,2.12983,2.70038,2.27409,0.000963517,0.000963517,0.000963517
13,372.773,1.72673,2.70766,2.12492,0.71245,0.33019,0.42182,0.14915,2.40749,2.81753,2.47478,0.0009602,0.0009602,0.0009602
14,401.162,1.68733,2.58401,2.07232,0.56392,0.3586,0.38611,0.15242,2.38834,2.92843,2.46539,0.000956883,0.000956883,0.000956883
15,429.58,1.69228,2.58045,2.08773,0.6454,0.47016,0.48376,0.19222,2.31078,2.62694,2.43596,0.000953567,0.000953567,0.000953567
16,458,1.718,2.55738,2.09559,0.54721,0.44734,0.40985,0.15703,2.37961,2.88966,2.45701,0.00095025,0.00095025,0.00095025
17,486.378,1.70578,2.51487,2.07343,0.68359,0.48796,0.53043,0.21676,2.15394,2.51325,2.18736,0.000946933,0.000946933,0.000946933
18,514.812,1.67163,2.50292,2.04369,0.41897,0.53117,0.48593,0.17898,2.28491,2.66576,2.30119,0.000943617,0.000943617,0.000943617
19,543.31,1.67883,2.42162,2.053,0.53056,0.49383,0.46193,0.18044,2.26729,2.66513,2.36242,0.0009403,0.0009403,0.0009403
20,571.711,1.67435,2.44357,2.04063,0.68146,0.47328,0.51499,0.21402,2.08721,2.51119,2.20176,0.000936983,0.000936983,0.000936983
21,600.05,1.6675,2.50018,2.06391,0.70756,0.44059,0.528,0.19629,2.21013,2.48134,2.2539,0.000933667,0.000933667,0.000933667
22,628.43,1.67785,2.4155,2.06383,0.49443,0.36754,0.31942,0.11827,2.48239,3.26823,2.5673,0.00093035,0.00093035,0.00093035
23,656.878,1.64175,2.37424,2.02774,0.70477,0.53309,0.58848,0.24827,1.94087,2.37831,2.11837,0.000927033,0.000927033,0.000927033
24,685.513,1.62589,2.32338,2.01946,0.7139,0.46518,0.5474,0.21576,2.16686,2.42556,2.24782,0.000923717,0.000923717,0.000923717
25,713.926,1.64666,2.35317,2.02916,0.68895,0.51192,0.54947,0.23278,2.03702,2.35345,2.14599,0.0009204,0.0009204,0.0009204
26,742.347,1.63584,2.32166,2.01348,0.52751,0.49468,0.47051,0.19202,2.18122,2.37559,2.21506,0.000917083,0.000917083,0.000917083
27,770.825,1.6227,2.35176,2.02254,0.41925,0.54444,0.48077,0.19369,2.28096,2.47115,2.34003,0.000913767,0.000913767,0.000913767
28,799.314,1.65688,2.34726,2.03989,0.43521,0.55883,0.49079,0.19055,2.26145,2.50626,2.30782,0.00091045,0.00091045,0.00091045
29,827.711,1.62296,2.31735,2.00797,0.52301,0.55131,0.53631,0.20704,2.18416,2.41524,2.24135,0.000907133,0.000907133,0.000907133
30,856.131,1.63761,2.30795,2.00348,0.48857,0.55547,0.5308,0.20607,2.20047,2.43849,2.26582,0.000903817,0.000903817,0.000903817
31,884.476,1.63235,2.33621,2.00199,0.54754,0.52205,0.54723,0.2244,2.09354,2.49663,2.19748,0.0009005,0.0009005,0.0009005
32,912.877,1.63358,2.34033,2.01919,0.47019,0.53436,0.52783,0.22238,2.03822,2.42581,2.15739,0.000897183,0.000897183,0.000897183
33,941.303,1.59616,2.28468,1.9762,0.50004,0.54808,0.55432,0.23615,2.1169,2.35946,2.22163,0.000893867,0.000893867,0.000893867
34,969.706,1.59757,2.27956,1.99818,0.72897,0.51559,0.58537,0.24876,1.991,2.2391,2.10194,0.00089055,0.00089055,0.00089055
35,998.308,1.59058,2.26565,1.97977,0.59163,0.57617,0.60512,0.25646,2.07319,2.22055,2.16315,0.000887233,0.000887233,0.000887233
36,1026.88,1.58526,2.23654,1.9674,0.58354,0.56096,0.60365,0.26883,1.9905,2.2437,2.08298,0.000883917,0.000883917,0.000883917
37,1055.63,1.55962,2.19094,1.95227,0.50292,0.45895,0.47283,0.2062,2.09694,2.60531,2.23621,0.0008806,0.0008806,0.0008806
38,1084.03,1.59901,2.19567,1.98093,0.61983,0.52661,0.55856,0.22862,2.13182,2.24617,2.1817,0.000877283,0.000877283,0.000877283
39,1112.49,1.5928,2.20715,1.97647,0.61651,0.57224,0.61479,0.26628,2.0018,2.14277,2.09369,0.000873967,0.000873967,0.000873967
40,1140.88,1.57764,2.14123,1.97181,0.74808,0.54619,0.63028,0.2719,1.94684,2.18767,2.06827,0.00087065,0.00087065,0.00087065
41,1169.54,1.57143,2.18495,1.94995,0.74452,0.49809,0.5898,0.27519,1.87036,2.19591,2.04583,0.000867333,0.000867333,0.000867333
42,1198.17,1.57794,2.20052,1.96795,0.58068,0.59386,0.60876,0.26726,1.99222,2.26431,2.08412,0.000864017,0.000864017,0.000864017
43,1226.57,1.56833,2.16744,1.94365,0.57245,0.6121,0.6044,0.23989,2.11422,2.22713,2.24465,0.0008607,0.0008607,0.0008607
