epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,770.402,2.47931,8.1198,2.76576,0.21192,0.12511,0.01475,0.00382,3.31312,11.9822,3.84221,0.000192593,0.000192593,0.0809333
2,792.416,1.85935,3.09049,2.19816,0.52167,0.17233,0.13471,0.05192,2.60895,6.01047,3.2592,0.00039129,0.00039129,0.061132
3,814.361,1.81957,2.86479,2.13615,0.09967,0.35055,0.08592,0.02477,2.74096,14.2764,3.33563,0.000588662,0.000588662,0.0413294
4,836.202,1.83476,2.87287,2.15884,0.37242,0.16234,0.10614,0.03236,2.81389,8.14577,3.6186,0.000784706,0.000784706,0.0215254
5,858.124,1.84268,2.92424,2.18213,0.30241,0.22738,0.09562,0.04488,3.13233,inf,5.14104,0.000979424,0.000979424,0.00172016
6,879.896,1.82126,2.88438,2.19053,0.26994,0.1712,0.07749,0.02267,2.68862,7.57021,3.45037,0.000983417,0.000983417,0.000983417
7,901.656,1.80102,2.77482,2.13136,0.26881,0.2481,0.07204,0.02358,2.69223,10.2593,3.13435,0.0009801,0.0009801,0.0009801
8,923.431,1.79814,2.7153,2.10234,0.49342,0.30676,0.29062,0.1156,2.28697,3.96533,2.55783,0.000976783,0.000976783,0.000976783
9,945.254,1.73833,2.63138,2.07317,0.20653,0.26033,0.13965,0.04806,2.57409,5.50162,3.05899,0.000973467,0.000973467,0.000973467
10,966.965,1.74842,2.63906,2.06776,0.39484,0.39647,0.34231,0.12029,2.27161,3.70893,2.4303,0.00097015,0.00097015,0.00097015
11,988.869,1.71327,2.5413,2.04551,0.53448,0.39714,0.40605,0.15849,2.19987,3.43345,2.44777,0.000966833,0.000966833,0.000966833
12,1010.66,1.692,2.48444,2.01138,0.58523,0.4388,0.42123,0.15596,2.21205,3.32168,2.41564,0.000963517,0.000963517,0.000963517
13,1032.4,1.69827,2.44224,2.01711,0.5666,0.45743,0.39009,0.13452,2.3868,3.0681,2.52582,0.0009602,0.0009602,0.0009602
14,1054.07,1.68343,2.40531,2.00568,0.41571,0.34782,0.33837,0.12394,2.29044,3.49311,2.48314,0.000956883,0.000956883,0.000956883
15,1075.71,1.66693,2.37096,1.99891,0.46368,0.46772,0.47732,0.17913,2.11661,2.72447,2.27978,0.000953567,0.000953567,0.000953567
16,1097.54,1.66885,2.37932,2.00574,0.62086,0.4705,0.49171,0.21065,1.91456,2.90292,2.11922,0.00095025,0.00095025,0.00095025
17,1119.38,1.64879,2.35081,1.97416,0.79945,0.28343,0.38469,0.14274,2.19355,3.48495,2.33714,0.000946933,0.000946933,0.000946933
18,1141.08,1.65152,2.35329,1.98119,0.61248,0.3604,0.34963,0.12919,2.19772,3.40675,2.35461,0.000943617,0.000943617,0.000943617
19,1162.7,1.64958,2.31285,1.98693,0.61399,0.30699,0.34374,0.12879,2.26692,3.51315,2.51891,0.0009403,0.0009403,0.0009403
20,1184.35,1.65541,2.27101,1.95405,0.69515,0.50256,0.51767,0.20373,1.95899,2.62884,2.12572,0.000936983,0.000936983,0.000936983
21,1206.05,1.61877,2.24897,1.95741,0.73973,0.43836,0.53082,0.22342,1.94145,2.41316,2.08296,0.000933667,0.000933667,0.000933667
22,1227.88,1.58552,2.23859,1.91745,0.63803,0.40053,0.44101,0.17065,2.09567,2.79157,2.20976,0.00093035,0.00093035,0.00093035
23,1249.62,1.61532,2.21136,1.93686,0.61914,0.44277,0.46812,0.17961,2.14148,2.6941,2.23651,0.000927033,0.000927033,0.000927033
24,1271.3,1.57741,2.17052,1.92417,0.50147,0.46993,0.50189,0.1955,2.22717,2.47324,2.33691,0.000923717,0.000923717,0.000923717
25,1292.99,1.57964,2.11255,1.91216,0.6125,0.45393,0.42489,0.17402,2.08339,2.85547,2.22098,0.0009204,0.0009204,0.0009204
26,1314.68,1.57695,2.11163,1.91706,0.6762,0.48355,0.52834,0.23243,1.95617,2.44538,2.12107,0.000917083,0.000917083,0.000917083
27,1336.66,1.57239,2.13457,1.91227,0.42585,0.39406,0.30048,0.11072,2.17966,3.22152,2.35395,0.000913767,0.000913767,0.000913767
28,1358.36,1.58514,2.1618,1.91878,0.50299,0.60263,0.59047,0.2354,1.99845,2.27396,2.10648,0.00091045,0.00091045,0.00091045
29,1380.22,1.56872,2.12113,1.88516,0.46818,0.46808,0.44625,0.18031,2.29768,2.9704,2.40044,0.000907133,0.000907133,0.000907133
30,1401.9,1.57591,2.15344,1.91214,0.71439,0.51204,0.57758,0.23328,2.07287,2.30182,2.18904,0.000903817,0.000903817,0.000903817
31,1423.59,1.57706,2.18003,1.90447,0.73159,0.51376,0.59316,0.27472,1.81648,2.30609,1.98102,0.0009005,0.0009005,0.0009005
32,1445.4,1.54759,2.06112,1.87584,0.53969,0.53721,0.53097,0.21823,2.04627,2.34575,2.14349,0.000897183,0.000897183,0.000897183
33,1467.12,1.56543,2.08348,1.89816,0.71476,0.53036,0.58858,0.24065,2.01612,2.3268,2.1087,0.000893867,0.000893867,0.000893867
34,1488.74,1.57512,2.1385,1.91185,0.56592,0.55851,0.56105,0.23588,1.9888,2.33289,2.0809,0.00089055,0.00089055,0.00089055
35,1510.41,1.53202,2.08383,1.86074,0.61798,0.5605,0.59923,0.24569,1.97869,2.168,2.05709,0.000887233,0.000887233,0.000887233
36,1532.05,1.53778,2.02713,1.87866,0.69037,0.53951,0.60825,0.26042,1.92134,2.1883,2.01711,0.000883917,0.000883917,0.000883917
37,1553.73,1.52655,2.0156,1.84789,0.66673,0.51426,0.54195,0.21878,2.055,2.36191,2.12952,0.0008806,0.0008806,0.0008806
38,1575.38,1.52808,2.0294,1.86934,0.48936,0.31765,0.32304,0.12959,2.33076,3.42285,2.52954,0.000877283,0.000877283,0.000877283
39,1596.99,1.54985,2.04654,1.87072,0.70259,0.53658,0.62266,0.25033,1.99521,2.19199,2.05207,0.000873967,0.000873967,0.000873967
