epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,389.064,2.43936,7.82003,2.80352,0.87109,0.06965,0.04281,0.0118,3.31933,13.0849,3.94309,0.000325,0.000325,0.067825
2,417.727,2.00272,3.47223,2.45711,0.31896,0.34216,0.20862,0.06787,2.55669,5.74406,3.04821,0.00065615,0.00065615,0.0348228
3,446.288,1.91744,3.18488,2.34847,0.31721,0.22365,0.12735,0.03947,3.00596,7.78089,3.90266,0.000985089,0.000985089,0.00181842
4,474.762,1.92232,3.14442,2.33746,0.45924,0.13431,0.05965,0.01453,2.89569,12.2972,3.50414,0.00099005,0.00099005,0.00099005
5,503.309,1.87157,2.97572,2.30966,0.20947,0.24187,0.12811,0.03362,2.74488,5.4561,2.92371,0.000986733,0.000986733,0.000986733
6,531.923,1.86344,2.88017,2.27522,0.42682,0.29773,0.24531,0.07811,2.73032,3.83094,3.05022,0.000983417,0.000983417,0.000983417
7,560.802,1.8629,2.97941,2.24339,0.56816,0.38898,0.36783,0.13019,2.41061,3.66746,2.49729,0.0009801,0.0009801,0.0009801
8,589.698,1.82477,2.87902,2.23271,0.43528,0.29249,0.26763,0.09208,2.62166,3.94674,2.78369,0.000976783,0.000976783,0.000976783
9,618.429,1.77899,2.81,2.18803,0.38169,0.4021,0.3579,0.12253,2.46025,3.34161,2.65136,0.000973467,0.000973467,0.000973467
10,647.179,1.79282,2.79588,2.16601,0.32965,0.43565,0.34124,0.10621,2.40516,3.29929,2.45046,0.00097015,0.00097015,0.00097015
11,675.888,1.75317,2.7999,2.14114,0.37383,0.48128,0.3861,0.12724,2.30675,3.30329,2.40767,0.000966833,0.000966833,0.000966833
12,704.568,1.74377,2.67637,2.11753,0.66988,0.52246,0.55456,0.21806,2.12983,2.70038,2.27409,0.000963517,0.000963517,0.000963517
13,733.599,1.72673,2.70766,2.12492,0.54393,0.4701,0.44479,0.14621,2.40749,2.81753,2.47478,0.0009602,0.0009602,0.0009602
14,762.361,1.68733,2.58401,2.07232,0.35775,0.44925,0.39338,0.1485,2.38834,2.92843,2.46539,0.000956883,0.000956883,0.000956883
15,791.105,1.69228,2.58045,2.08773,0.576,0.52028,0.51313,0.19134,2.31078,2.62694,2.43596,0.000953567,0.000953567,0.000953567
16,819.872,1.718,2.55738,2.09559,0.42365,0.49945,0.42477,0.15383,2.37961,2.88966,2.45701,0.00095025,0.00095025,0.00095025
17,848.627,1.70578,2.51487,2.07343,0.57093,0.5552,0.55739,0.21314,2.15394,2.51325,2.18736,0.000946933,0.000946933,0.000946933
18,877.331,1.67163,2.50292,2.04369,0.4776,0.54872,0.50369,0.17777,2.28491,2.66576,2.30119,0.000943617,0.000943617,0.000943617
19,906.055,1.67883,2.42162,2.053,0.45783,0.52687,0.49176,0.18049,2.26729,2.66513,2.36242,0.0009403,0.0009403,0.0009403
20,934.812,1.67435,2.44357,2.04063,0.71161,0.51095,0.54065,0.21237,2.08721,2.51119,2.20176,0.000936983,0.000936983,0.000936983
21,963.55,1.6675,2.50018,2.06391,0.50612,0.5534,0.55463,0.19104,2.21013,2.48134,2.2539,0.000933667,0.000933667,0.000933667
22,992.304,1.67785,2.4155,2.06383,0.52681,0.37389,0.34295,0.12012,2.48239,3.26823,2.5673,0.00093035,0.00093035,0.00093035
