epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.901,1.99556,2.70902,2.14655,0.47631,0.28983,0.26985,0.11349,2.02326,4.34142,2.31976,0.000331224,0.000331224,0.0672089
2,250.818,1.74064,1.98275,1.93136,0.4779,0.28036,0.30721,0.13668,2.01098,2.5989,2.27592,0.000662364,0.000662364,0.0342067
3,374.486,1.68159,1.81091,1.87083,0.53393,0.36156,0.37601,0.15048,2.06613,2.19212,2.2159,0.000991304,0.000991304,0.00120227
4,497.555,1.61734,1.69461,1.81831,0.59301,0.31841,0.35643,0.15955,2.04941,2.26877,2.2114,0.0009901,0.0009901,0.0009901
5,619.529,1.53875,1.5988,1.74032,0.57202,0.46128,0.44674,0.20144,1.94976,2.14556,2.12595,0.0009868,0.0009868,0.0009868
6,741.649,1.48168,1.51098,1.69338,0.47316,0.48515,0.47447,0.21448,1.93524,1.89605,2.14913,0.0009835,0.0009835,0.0009835
7,863.489,1.42663,1.43813,1.65634,0.60819,0.50167,0.54173,0.25502,1.86885,1.74463,2.00823,0.0009802,0.0009802,0.0009802
8,985.169,1.35766,1.3331,1.5948,0.63469,0.47955,0.52893,0.25286,1.90324,1.68802,2.02005,0.0009769,0.0009769,0.0009769
9,1107.06,1.30849,1.28887,1.54732,0.62477,0.52875,0.57292,0.26629,1.87579,1.64718,2.02527,0.0009736,0.0009736,0.0009736
10,1228.79,1.2137,1.19901,1.46736,0.60228,0.61926,0.60171,0.28194,1.8677,1.60718,2.04221,0.0009703,0.0009703,0.0009703
11,1350.97,1.17088,1.1149,1.42884,0.55597,0.57881,0.58026,0.27314,1.92567,1.63392,2.13638,0.000967,0.000967,0.000967
12,1472.69,1.08451,1.02834,1.36707,0.51841,0.55456,0.55932,0.26418,1.92391,1.6715,2.11327,0.0009637,0.0009637,0.0009637
13,1594.55,1.05639,0.94767,1.33748,0.555,0.59846,0.60475,0.29448,1.86495,1.54446,2.04334,0.0009604,0.0009604,0.0009604
14,1716.57,0.97155,0.8528,1.26893,0.5849,0.59599,0.60768,0.29159,1.92063,1.55012,2.15997,0.0009571,0.0009571,0.0009571
15,1838.5,0.90326,0.77099,1.21355,0.587,0.54802,0.60559,0.29775,1.9646,1.55881,2.24769,0.0009538,0.0009538,0.0009538
16,1961.63,0.86132,0.72808,1.18095,0.57243,0.58472,0.59434,0.28546,1.95856,1.60199,2.22732,0.0009505,0.0009505,0.0009505
17,2083.8,0.8077,0.67251,1.13664,0.56562,0.57623,0.5971,0.29215,1.98441,1.58374,2.2537,0.0009472,0.0009472,0.0009472
18,2205.56,0.76863,0.64579,1.11391,0.59082,0.57233,0.56178,0.26074,1.99957,1.6077,2.28596,0.0009439,0.0009439,0.0009439
19,2327.27,0.71033,0.59521,1.06591,0.57456,0.60848,0.59287,0.28874,1.95065,1.55577,2.28693,0.0009406,0.0009406,0.0009406
20,2448.89,0.66893,0.55206,1.04082,0.56045,0.60197,0.58891,0.29774,1.94238,1.60594,2.29317,0.0009373,0.0009373,0.0009373
21,2571.35,0.62491,0.50895,1.01173,0.62044,0.54408,0.57681,0.27761,2.01798,1.71035,2.41074,0.000934,0.000934,0.000934
22,2693.22,0.59806,0.50299,0.99505,0.5639,0.56564,0.55067,0.25623,2.02564,1.80815,2.45226,0.0009307,0.0009307,0.0009307
23,2815.05,0.57743,0.47466,0.97902,0.60129,0.55357,0.571,0.26957,2.03494,1.69514,2.4187,0.0009274,0.0009274,0.0009274
24,2936.59,0.57265,0.47467,0.97828,0.58718,0.57152,0.59446,0.29021,1.98018,1.6887,2.30837,0.0009241,0.0009241,0.0009241
25,3058.94,0.49632,0.41537,0.93287,0.58618,0.56007,0.56631,0.27197,2.05828,1.77672,2.45937,0.0009208,0.0009208,0.0009208
26,3180.79,0.48977,0.3974,0.92278,0.62444,0.53049,0.5557,0.2699,2.01826,1.82607,2.50418,0.0009175,0.0009175,0.0009175
27,3303.01,0.47352,0.38625,0.91608,0.62582,0.52457,0.57324,0.27457,2.08505,1.8051,2.56906,0.0009142,0.0009142,0.0009142
28,3424.84,0.43849,0.36739,0.90305,0.58712,0.54066,0.55127,0.25591,2.07275,1.83253,2.52403,0.0009109,0.0009109,0.0009109
29,3546.6,0.44582,0.37135,0.90702,0.60354,0.53642,0.56139,0.27308,2.05279,1.74976,2.50789,0.0009076,0.0009076,0.0009076
30,3668.43,0.43004,0.35666,0.89495,0.57192,0.54488,0.57837,0.2831,2.03424,1.80561,2.46542,0.0009043,0.0009043,0.0009043
31,3789.95,0.40437,0.33788,0.88414,0.59291,0.55998,0.5715,0.2776,2.08252,1.85626,2.55292,0.000901,0.000901,0.000901
32,3911.6,0.38724,0.32214,0.87137,0.6253,0.5402,0.56116,0.27389,2.07175,1.78208,2.54506,0.0008977,0.0008977,0.0008977
33,4033.43,0.37382,0.31553,0.8693,0.67183,0.52907,0.57064,0.28833,1.99549,1.80469,2.47222,0.0008944,0.0008944,0.0008944
34,4155.17,0.35912,0.2997,0.86296,0.56445,0.5462,0.55979,0.27834,2.05332,1.90554,2.55931,0.0008911,0.0008911,0.0008911
35,4277.07,0.34821,0.28741,0.85742,0.63066,0.52572,0.57465,0.28089,2.04048,1.9565,2.51981,0.0008878,0.0008878,0.0008878
36,4398.78,0.3265,0.27743,0.84998,0.64056,0.52782,0.57482,0.29059,2.04612,1.85276,2.56236,0.0008845,0.0008845,0.0008845
37,4520.67,0.33198,0.27452,0.85081,0.65121,0.51436,0.57313,0.27854,2.0688,1.95066,2.55154,0.0008812,0.0008812,0.0008812
38,4642.37,0.31955,0.27121,0.8467,0.61616,0.54266,0.58089,0.29087,2.00366,2.00478,2.46367,0.0008779,0.0008779,0.0008779
39,4764.27,0.30126,0.25638,0.84168,0.59473,0.56383,0.58679,0.30153,2.03724,1.87532,2.55531,0.0008746,0.0008746,0.0008746
40,4886.13,0.29896,0.25464,0.84194,0.67796,0.49993,0.59473,0.31022,2.01572,1.93224,2.53255,0.0008713,0.0008713,0.0008713
41,5008.37,0.29352,0.24351,0.83784,0.64686,0.52501,0.59261,0.30265,2.02612,1.80835,2.58598,0.000868,0.000868,0.000868
42,5130.46,0.28747,0.24162,0.83446,0.62665,0.54653,0.58705,0.29521,2.00812,1.96163,2.52422,0.0008647,0.0008647,0.0008647
43,5252.18,0.2595,0.23005,0.82872,0.56359,0.54613,0.5603,0.28826,2.04171,2.03691,2.56041,0.0008614,0.0008614,0.0008614
44,5373.96,0.25805,0.22549,0.82827,0.60999,0.54051,0.58836,0.30173,2.03116,1.97124,2.51169,0.0008581,0.0008581,0.0008581
45,5495.8,0.26572,0.22588,0.8284,0.56939,0.56521,0.6032,0.30416,2.0001,1.9512,2.56493,0.0008548,0.0008548,0.0008548
46,5617.52,0.26377,0.21796,0.82894,0.69045,0.49476,0.60951,0.31971,1.97997,2.00046,2.51076,0.0008515,0.0008515,0.0008515
47,5740.81,0.25174,0.21164,0.8249,0.63562,0.52091,0.58207,0.305,2.00531,1.94411,2.53197,0.0008482,0.0008482,0.0008482
48,5862.81,0.23305,0.19889,0.82112,0.59668,0.55831,0.59201,0.30621,2.0027,2.00086,2.56372,0.0008449,0.0008449,0.0008449
49,5984.74,0.2435,0.20358,0.8222,0.65394,0.5261,0.58272,0.29486,2.01895,1.86373,2.62359,0.0008416,0.0008416,0.0008416
50,6106.68,0.23417,0.20159,0.81972,0.60002,0.52473,0.58546,0.2986,1.97565,2.13212,2.54486,0.0008383,0.0008383,0.0008383
51,6228.53,0.22544,0.19635,0.81709,0.61565,0.51326,0.5685,0.28896,2.04106,2.03286,2.61936,0.000835,0.000835,0.000835
52,6350.63,0.22522,0.19176,0.81672,0.60322,0.53508,0.58592,0.29607,2.01869,2.09939,2.53242,0.0008317,0.0008317,0.0008317
53,6472.39,0.20933,0.18215,0.81323,0.62013,0.50752,0.57133,0.29101,2.02353,2.14711,2.57106,0.0008284,0.0008284,0.0008284
54,6594.1,0.20612,0.17645,0.81286,0.66557,0.50453,0.59675,0.30869,2.02315,2.11924,2.58422,0.0008251,0.0008251,0.0008251
55,6715.76,0.20235,0.17458,0.81167,0.65637,0.51145,0.58515,0.30866,1.96774,2.12802,2.5482,0.0008218,0.0008218,0.0008218
56,6837.66,0.20541,0.17365,0.81011,0.71995,0.46854,0.57914,0.30513,2.01752,2.17559,2.60941,0.0008185,0.0008185,0.0008185
57,6959.47,0.19369,0.16661,0.80932,0.59774,0.53007,0.59073,0.30813,2.02666,2.04025,2.59094,0.0008152,0.0008152,0.0008152
58,7081.34,0.18412,0.16017,0.80664,0.62354,0.48446,0.57808,0.29964,2.02434,2.27239,2.59672,0.0008119,0.0008119,0.0008119
59,7202.89,0.17854,0.1551,0.80653,0.63463,0.48563,0.5774,0.3058,2.0278,2.27122,2.58823,0.0008086,0.0008086,0.0008086
60,7324.55,0.18722,0.1596,0.80786,0.58634,0.49766,0.58496,0.30443,2.00381,2.2135,2.55957,0.0008053,0.0008053,0.0008053
61,7446.27,0.172,0.15086,0.80445,0.58758,0.50694,0.57696,0.30892,1.98842,2.19769,2.55787,0.000802,0.000802,0.000802
62,7567.76,0.16537,0.14505,0.80337,0.59505,0.50667,0.56938,0.30417,1.97744,2.27505,2.55006,0.0007987,0.0007987,0.0007987
63,7689.09,0.16504,0.14375,0.80125,0.70072,0.45107,0.56961,0.30603,1.9957,2.36012,2.56389,0.0007954,0.0007954,0.0007954
64,7810.75,0.16582,0.14389,0.80191,0.57768,0.53742,0.58467,0.30977,1.99463,2.22914,2.58054,0.0007921,0.0007921,0.0007921
65,7932.39,0.16875,0.14497,0.80239,0.55869,0.52637,0.56575,0.30198,2.01815,2.17755,2.64001,0.0007888,0.0007888,0.0007888
66,8054.25,0.16197,0.14205,0.80168,0.60613,0.51031,0.58051,0.3105,1.98986,2.32979,2.57616,0.0007855,0.0007855,0.0007855
67,8175.74,0.16098,0.14053,0.80172,0.57695,0.51067,0.58129,0.31523,1.9966,2.33575,2.58849,0.0007822,0.0007822,0.0007822
68,8297.07,0.15613,0.13902,0.80074,0.57237,0.50945,0.58359,0.3109,2.01642,2.37212,2.60346,0.0007789,0.0007789,0.0007789
69,8418.62,0.15455,0.13563,0.79979,0.65835,0.50769,0.5877,0.31355,1.98701,2.28846,2.6057,0.0007756,0.0007756,0.0007756
70,8539.77,0.15804,0.13733,0.7997,0.55353,0.51574,0.58228,0.30623,1.99808,2.36965,2.57,0.0007723,0.0007723,0.0007723
71,8661.5,0.15288,0.13604,0.80012,0.57543,0.5374,0.58472,0.31229,2.01666,2.19179,2.599,0.000769,0.000769,0.000769
72,8782.83,0.14506,0.12948,0.79976,0.57016,0.52397,0.57856,0.31327,1.97989,2.34472,2.57038,0.0007657,0.0007657,0.0007657
73,8904.37,0.14184,0.12827,0.79837,0.57972,0.5149,0.58184,0.32055,1.97648,2.30244,2.62545,0.0007624,0.0007624,0.0007624
74,9026.02,0.14105,0.12571,0.79793,0.61369,0.52185,0.57738,0.31058,2.01669,2.39627,2.60843,0.0007591,0.0007591,0.0007591
75,9147.26,0.14128,0.12543,0.79729,0.61727,0.51068,0.58139,0.31514,1.98807,2.24601,2.60021,0.0007558,0.0007558,0.0007558
76,9268.63,0.13812,0.12403,0.79564,0.60976,0.51725,0.58623,0.31981,2.0217,2.35697,2.64654,0.0007525,0.0007525,0.0007525
77,9390.07,0.13899,0.12524,0.79626,0.60704,0.49469,0.58186,0.31045,2.01489,2.39557,2.62501,0.0007492,0.0007492,0.0007492
78,9511.48,0.13201,0.11949,0.79613,0.63697,0.52162,0.59202,0.31955,2.00606,2.18933,2.62635,0.0007459,0.0007459,0.0007459
79,9632.65,0.13603,0.12171,0.7964,0.59861,0.49399,0.56913,0.31202,1.99869,2.43709,2.62535,0.0007426,0.0007426,0.0007426
80,9753.94,0.13381,0.12155,0.79618,0.58525,0.50939,0.57846,0.31561,2.02344,2.35844,2.64463,0.0007393,0.0007393,0.0007393
81,9875.17,0.13176,0.11911,0.79543,0.61278,0.50318,0.58009,0.31181,2.01335,2.38537,2.65036,0.000736,0.000736,0.000736
82,9997.5,0.13018,0.11887,0.79583,0.59693,0.4825,0.5795,0.31269,2.02111,2.47249,2.61839,0.0007327,0.0007327,0.0007327
83,10119.4,0.12583,0.11579,0.79515,0.60604,0.51287,0.57694,0.31091,2.0079,2.37883,2.63669,0.0007294,0.0007294,0.0007294
84,10240.8,0.12181,0.11391,0.79465,0.57143,0.48909,0.57673,0.31044,2.02298,2.48298,2.63614,0.0007261,0.0007261,0.0007261
85,10362.7,0.11395,0.1074,0.79372,0.57245,0.51496,0.57133,0.30868,2.02836,2.32916,2.67238,0.0007228,0.0007228,0.0007228
86,10484.3,0.11434,0.10704,0.79253,0.58246,0.48379,0.57518,0.30966,2.0205,2.5735,2.63759,0.0007195,0.0007195,0.0007195
87,10605.7,0.11714,0.10855,0.79358,0.58904,0.49649,0.58075,0.31358,2.00211,2.41584,2.64626,0.0007162,0.0007162,0.0007162
88,10727.1,0.11689,0.1079,0.7937,0.61506,0.48967,0.57056,0.31118,2.0142,2.59995,2.63586,0.0007129,0.0007129,0.0007129
89,10848.7,0.12022,0.1106,0.79321,0.59154,0.47753,0.56141,0.30842,2.0162,2.46823,2.64655,0.0007096,0.0007096,0.0007096
90,10971,0.11998,0.11354,0.79384,0.6113,0.51939,0.58828,0.31446,2.0245,2.27789,2.70326,0.0007063,0.0007063,0.0007063
91,11092.5,0.11957,0.11558,0.79404,0.61286,0.51897,0.56932,0.29872,2.02991,2.29914,2.70231,0.000703,0.000703,0.000703
92,11213.9,0.12085,0.11554,0.79455,0.58482,0.52035,0.56964,0.30328,2.05259,2.28597,2.7485,0.0006997,0.0006997,0.0006997
93,11335.1,0.12411,0.11566,0.79421,0.69648,0.47927,0.58589,0.31712,2.04867,2.35529,2.74185,0.0006964,0.0006964,0.0006964
94,11456.6,0.12196,0.11325,0.79404,0.61164,0.52999,0.57845,0.31258,1.99276,2.23622,2.67211,0.0006931,0.0006931,0.0006931
95,11578.7,0.11594,0.10961,0.79327,0.60136,0.48957,0.56917,0.31367,2.01586,2.46366,2.69603,0.0006898,0.0006898,0.0006898
96,11700,0.11446,0.10622,0.79244,0.61631,0.51616,0.5848,0.31133,2.03277,2.48943,2.68763,0.0006865,0.0006865,0.0006865
