epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.258,2.23073,5.97886,2.67022,0.5904,0.08778,0.08711,0.02947,3.0205,8.7525,3.32153,0.000327273,0.000327273,0.0676
2,80.0042,1.90029,3.21093,2.35548,0.24164,0.37087,0.27662,0.08928,2.41216,8.65026,2.90528,0.000658415,0.000658415,0.0345978
3,118.898,1.86097,3.05035,2.31498,0.2481,0.43833,0.21769,0.07384,2.43689,7.609,2.80935,0.000987346,0.000987346,0.00159341
4,157.688,1.88338,3.16368,2.34299,0.28381,0.24307,0.19441,0.06532,2.49683,6.05255,2.76027,0.00099005,0.00099005,0.00099005
5,196.298,1.8065,2.94393,2.25195,0.32619,0.35894,0.30713,0.11328,2.44106,3.92818,2.68967,0.000986733,0.000986733,0.000986733
6,235.229,1.78943,2.89166,2.25435,0.5684,0.34186,0.34997,0.12501,2.21993,4.09912,2.49091,0.000983417,0.000983417,0.000983417
7,274.041,1.73624,2.82658,2.19567,0.10921,0.21585,0.12032,0.03554,2.751,5.69089,3.12802,0.0009801,0.0009801,0.0009801
8,312.705,1.71624,2.72943,2.15212,0.46161,0.4268,0.38044,0.1234,2.3273,3.23718,2.48245,0.000976783,0.000976783,0.000976783
9,351.363,1.68956,2.67665,2.13658,0.64515,0.34405,0.41946,0.14404,2.30968,2.92545,2.34216,0.000973467,0.000973467,0.000973467
10,390.156,1.67948,2.61138,2.11206,0.57096,0.45884,0.48202,0.16738,2.32271,2.77513,2.47229,0.00097015,0.00097015,0.00097015
11,429.047,1.68548,2.63284,2.13194,0.58137,0.49995,0.51726,0.18053,2.21526,2.84964,2.31147,0.000966833,0.000966833,0.000966833
12,467.904,1.65612,2.54339,2.09973,0.44365,0.45889,0.41295,0.14516,2.39357,2.95129,2.52077,0.000963517,0.000963517,0.000963517
13,506.49,1.67215,2.57833,2.1012,0.51187,0.5064,0.48834,0.17902,2.20499,2.86434,2.36197,0.0009602,0.0009602,0.0009602
14,545.167,1.63499,2.48188,2.06616,0.55516,0.46802,0.48912,0.173,2.36728,2.65999,2.41971,0.000956883,0.000956883,0.000956883
15,583.812,1.63151,2.43584,2.05129,0.50243,0.51855,0.50906,0.18271,2.20656,2.58663,2.23583,0.000953567,0.000953567,0.000953567
