epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,311.346,2.02089,2.9766,2.31253,0.49152,0.27301,0.24341,0.08378,2.45331,2.81293,2.6146,0.000332275,0.000332275,0.0671048
2,621.077,1.97648,2.55003,2.27841,0.36311,0.33425,0.22184,0.08227,2.34177,3.2164,2.39706,0.000659019,0.000659019,0.0340982
3,928.78,1.89049,2.43186,2.21037,0.40909,0.32061,0.2666,0.09939,2.18568,3.36937,2.34212,0.000979163,0.000979163,0.00108498
4,1237.35,1.84782,2.27976,2.15152,0.51101,0.42211,0.35601,0.13799,2.20568,2.98028,2.2441,0.0009703,0.0009703,0.0009703
5,1545.48,1.83509,2.18838,2.13745,0.54975,0.41649,0.39675,0.1583,2.05913,2.16379,2.14669,0.0009604,0.0009604,0.0009604
6,1856.81,1.77733,2.07675,2.10346,0.58743,0.41455,0.39766,0.15637,2.10184,2.24639,2.17978,0.0009505,0.0009505,0.0009505
7,2165.1,1.77752,2.07276,2.08907,0.61074,0.42321,0.44944,0.17623,1.96179,2.07058,2.04008,0.0009406,0.0009406,0.0009406
8,2472.45,1.73221,2.01703,2.02417,0.52812,0.42288,0.40663,0.15776,2.02468,2.10087,2.07792,0.0009307,0.0009307,0.0009307
9,2779.08,1.68913,1.93501,1.99025,0.48484,0.48352,0.43722,0.1709,2.07706,2.01371,2.13551,0.0009208,0.0009208,0.0009208
10,3085.41,1.69063,1.88911,1.99774,0.3908,0.47839,0.43054,0.16181,2.06151,2.04681,2.10819,0.0009109,0.0009109,0.0009109
11,3391.36,1.68689,1.90785,1.98106,0.62136,0.46317,0.50266,0.20805,1.9801,1.98086,2.04234,0.000901,0.000901,0.000901
12,3697.66,1.67887,1.83424,1.98319,0.54892,0.41541,0.43933,0.17622,2.0213,1.94081,2.08772,0.0008911,0.0008911,0.0008911
13,4003.99,1.63638,1.80115,1.94995,0.46127,0.53527,0.49008,0.20953,1.94016,1.90772,2.01907,0.0008812,0.0008812,0.0008812
14,4310.47,1.64562,1.83222,1.96614,0.64146,0.41421,0.47375,0.20305,1.93978,2.00013,2.01243,0.0008713,0.0008713,0.0008713
15,4616.5,1.61575,1.75245,1.9272,0.39986,0.55936,0.48119,0.20207,1.91987,1.93156,2.01189,0.0008614,0.0008614,0.0008614
16,4922.42,1.59832,1.73055,1.92234,0.64798,0.466,0.508,0.2161,1.94924,1.91629,2.00002,0.0008515,0.0008515,0.0008515
17,5230.25,1.59942,1.66433,1.88791,0.44311,0.5615,0.48475,0.20102,1.99642,1.90419,2.02245,0.0008416,0.0008416,0.0008416
18,5536.44,1.59058,1.67853,1.90766,0.58971,0.48678,0.49825,0.18605,2.11618,1.80788,2.1021,0.0008317,0.0008317,0.0008317
19,5843.02,1.58801,1.67993,1.90051,0.52238,0.54594,0.5342,0.22975,1.97446,1.76559,2.01083,0.0008218,0.0008218,0.0008218
20,6149.23,1.59903,1.66041,1.90544,0.71339,0.48819,0.5595,0.24196,1.91532,1.73965,1.94158,0.0008119,0.0008119,0.0008119
21,6456.2,1.53988,1.60693,1.85641,0.44897,0.53194,0.50316,0.20471,2.00004,1.82941,2.01938,0.000802,0.000802,0.000802
22,6762.71,1.55011,1.60881,1.8673,0.60787,0.54481,0.59058,0.26043,1.90586,1.70855,1.95444,0.0007921,0.0007921,0.0007921
23,7070.79,1.57166,1.60219,1.8873,0.54123,0.56938,0.55507,0.22809,2.00202,1.74264,1.99857,0.0007822,0.0007822,0.0007822
24,7376.83,1.55812,1.57501,1.85602,0.53201,0.55581,0.53994,0.20899,2.0648,1.79127,2.0637,0.0007723,0.0007723,0.0007723
25,7682.98,1.5401,1.52554,1.83702,0.5874,0.5608,0.58152,0.24182,1.96434,1.70492,1.97157,0.0007624,0.0007624,0.0007624
26,7989.34,1.52926,1.51446,1.8412,0.58918,0.53793,0.57311,0.25538,1.93074,1.70505,1.96595,0.0007525,0.0007525,0.0007525
27,8296.32,1.50535,1.50967,1.8258,0.59069,0.58432,0.61182,0.26821,1.85624,1.6104,1.90891,0.0007426,0.0007426,0.0007426
28,8603.79,1.51641,1.52458,1.83565,0.56068,0.60014,0.6158,0.26459,1.87044,1.61962,1.9248,0.0007327,0.0007327,0.0007327
29,8910.17,1.48121,1.46444,1.82189,0.60314,0.57908,0.59655,0.25785,1.90213,1.64025,1.95409,0.0007228,0.0007228,0.0007228
30,9216.27,1.52594,1.48366,1.8381,0.5466,0.59307,0.58887,0.26127,1.93429,1.57124,1.9705,0.0007129,0.0007129,0.0007129
31,9523.24,1.5235,1.47945,1.83743,0.70735,0.55176,0.6156,0.29047,1.81289,1.56089,1.90609,0.000703,0.000703,0.000703
32,9831.27,1.50211,1.44986,1.82133,0.51772,0.62492,0.59831,0.24019,2.04714,1.69532,2.0347,0.0006931,0.0006931,0.0006931
33,10137.4,1.49695,1.47734,1.80825,0.54833,0.59918,0.5896,0.24497,1.97977,1.63725,1.99535,0.0006832,0.0006832,0.0006832
34,10443.3,1.49737,1.44998,1.80289,0.69138,0.49885,0.56938,0.26047,1.84861,1.63075,1.90861,0.0006733,0.0006733,0.0006733
35,10750.6,1.46804,1.43801,1.77475,0.58194,0.57275,0.59939,0.25001,1.99511,1.61827,1.99979,0.0006634,0.0006634,0.0006634
36,11057,1.49114,1.46274,1.78971,0.71739,0.53431,0.61397,0.2715,1.87297,1.60081,1.90288,0.0006535,0.0006535,0.0006535
37,11363.3,1.46224,1.42768,1.76513,0.61179,0.60217,0.61719,0.26251,1.92179,1.59589,1.9179,0.0006436,0.0006436,0.0006436
38,11669.9,1.46829,1.38357,1.77689,0.56093,0.61063,0.60518,0.26402,2.00253,1.57118,1.95477,0.0006337,0.0006337,0.0006337
39,11982.2,1.4502,1.39338,1.76322,0.7897,0.51312,0.62964,0.27545,1.91439,1.54638,1.9147,0.0006238,0.0006238,0.0006238
40,12290,1.47466,1.39157,1.79091,0.62432,0.54263,0.59496,0.27186,1.86041,1.58656,1.92799,0.0006139,0.0006139,0.0006139
41,12597.2,1.47472,1.40053,1.78528,0.56739,0.6176,0.63417,0.28354,1.9093,1.55852,1.97291,0.000604,0.000604,0.000604
42,12903.4,1.45116,1.37168,1.76277,0.63918,0.58457,0.64292,0.29157,1.875,1.56202,1.9248,0.0005941,0.0005941,0.0005941
43,13210,1.48873,1.39169,1.78962,0.61071,0.62675,0.63673,0.28392,1.86269,1.54301,1.88976,0.0005842,0.0005842,0.0005842
44,13517,1.4231,1.3297,1.74761,0.5743,0.5829,0.60344,0.26231,1.93983,1.59885,1.96253,0.0005743,0.0005743,0.0005743
45,13823.8,1.45759,1.33366,1.7614,0.56337,0.6129,0.63241,0.28079,1.9064,1.57433,1.91453,0.0005644,0.0005644,0.0005644
46,14130.1,1.43617,1.32487,1.74903,0.59427,0.61555,0.63541,0.29266,1.86741,1.54311,1.89686,0.0005545,0.0005545,0.0005545
47,14437.7,1.44197,1.33082,1.76878,0.62832,0.62201,0.65856,0.29886,1.87405,1.52286,1.90665,0.0005446,0.0005446,0.0005446
48,14745,1.43294,1.29747,1.7406,0.56603,0.61808,0.6285,0.28002,1.92917,1.51717,1.92396,0.0005347,0.0005347,0.0005347
49,15052.3,1.41926,1.28897,1.73977,0.61159,0.65632,0.66734,0.29693,1.85151,1.51973,1.89003,0.0005248,0.0005248,0.0005248
50,15358.9,1.41016,1.30343,1.7284,0.61684,0.58498,0.62554,0.27367,1.92261,1.55526,1.9409,0.0005149,0.0005149,0.0005149
51,15665.9,1.44862,1.33833,1.75843,0.60871,0.63028,0.63639,0.28261,1.87896,1.53215,1.92317,0.000505,0.000505,0.000505
52,15972.4,1.41391,1.29299,1.73372,0.73306,0.59964,0.66864,0.31234,1.77209,1.45324,1.84512,0.0004951,0.0004951,0.0004951
53,16279.6,1.39616,1.28028,1.72043,0.68497,0.60008,0.66759,0.30692,1.85324,1.47109,1.89124,0.0004852,0.0004852,0.0004852
54,16585.9,1.40024,1.28066,1.73104,0.60048,0.64298,0.67525,0.32008,1.79635,1.44694,1.88014,0.0004753,0.0004753,0.0004753
55,16892.7,1.40837,1.27085,1.72779,0.65671,0.65174,0.6812,0.32753,1.7593,1.42436,1.84908,0.0004654,0.0004654,0.0004654
56,17198.7,1.3774,1.241,1.70439,0.65138,0.64107,0.68634,0.32635,1.81617,1.43797,1.87432,0.0004555,0.0004555,0.0004555
57,17505.9,1.38298,1.21701,1.69861,0.59142,0.63814,0.65703,0.3157,1.79332,1.43574,1.83225,0.0004456,0.0004456,0.0004456
58,17812.8,1.38062,1.23858,1.70925,0.63476,0.66057,0.66386,0.31636,1.77658,1.41068,1.85095,0.0004357,0.0004357,0.0004357
59,18120.5,1.3759,1.19989,1.70386,0.644,0.61528,0.66656,0.3348,1.72884,1.3832,1.81399,0.0004258,0.0004258,0.0004258
60,18428,1.38265,1.20476,1.70395,0.59899,0.63898,0.65066,0.31874,1.76003,1.43007,1.85362,0.0004159,0.0004159,0.0004159
61,18735,1.34873,1.21901,1.68607,0.57897,0.61902,0.64182,0.31383,1.81093,1.43279,1.87657,0.000406,0.000406,0.000406
62,19042.2,1.35119,1.20218,1.67836,0.61696,0.58277,0.62166,0.30132,1.7902,1.45813,1.87126,0.0003961,0.0003961,0.0003961
63,19349.2,1.36848,1.20787,1.68966,0.58332,0.63861,0.65721,0.29452,1.88693,1.47804,1.92686,0.0003862,0.0003862,0.0003862
64,19656,1.35252,1.1924,1.68529,0.63936,0.637,0.67969,0.30906,1.88895,1.44511,1.90386,0.0003763,0.0003763,0.0003763
65,19962.7,1.36095,1.20959,1.67958,0.6105,0.63848,0.6684,0.32113,1.79164,1.41343,1.84557,0.0003664,0.0003664,0.0003664
66,20269.4,1.34169,1.18733,1.67977,0.75373,0.59726,0.67647,0.31391,1.83513,1.40591,1.87935,0.0003565,0.0003565,0.0003565
67,20577.8,1.35028,1.18794,1.67795,0.62034,0.63159,0.65676,0.31274,1.80601,1.42312,1.8382,0.0003466,0.0003466,0.0003466
68,20884.5,1.34135,1.15611,1.6697,0.71228,0.56849,0.6681,0.3151,1.85745,1.40285,1.87502,0.0003367,0.0003367,0.0003367
69,21191.5,1.31649,1.15849,1.64518,0.66444,0.64274,0.68158,0.32604,1.79567,1.35863,1.83136,0.0003268,0.0003268,0.0003268
70,21498.4,1.33011,1.15277,1.64368,0.6601,0.60388,0.67081,0.32186,1.81111,1.42303,1.85996,0.0003169,0.0003169,0.0003169
71,21805.2,1.31888,1.14161,1.64715,0.62383,0.64428,0.65421,0.32147,1.76882,1.4042,1.83576,0.000307,0.000307,0.000307
72,22111.5,1.32348,1.13144,1.65061,0.71673,0.56068,0.67404,0.34211,1.72956,1.37025,1.83319,0.0002971,0.0002971,0.0002971
73,22417.7,1.31269,1.12404,1.65037,0.70484,0.59303,0.66857,0.32764,1.76382,1.39821,1.81418,0.0002872,0.0002872,0.0002872
74,22724.5,1.31292,1.13002,1.64873,0.72112,0.62338,0.68978,0.33846,1.78006,1.36573,1.82794,0.0002773,0.0002773,0.0002773
75,23030.7,1.2974,1.10632,1.62398,0.65684,0.667,0.69752,0.34312,1.73906,1.32635,1.81972,0.0002674,0.0002674,0.0002674
76,23336.9,1.3022,1.10231,1.63205,0.69358,0.58732,0.6729,0.32489,1.81392,1.35832,1.86227,0.0002575,0.0002575,0.0002575
77,23643.5,1.30688,1.11972,1.64555,0.66751,0.66006,0.69141,0.3509,1.71911,1.33652,1.81589,0.0002476,0.0002476,0.0002476
78,23949.5,1.29697,1.09741,1.64033,0.61332,0.63939,0.65713,0.3231,1.78254,1.38046,1.83394,0.0002377,0.0002377,0.0002377
79,24255.9,1.27854,1.08384,1.62363,0.70298,0.61159,0.67095,0.33158,1.72281,1.36325,1.80179,0.0002278,0.0002278,0.0002278
80,24562,1.27305,1.06109,1.61582,0.68556,0.64504,0.69343,0.33942,1.74008,1.34191,1.81943,0.0002179,0.0002179,0.0002179
81,24868.4,1.2575,1.05642,1.59209,0.62662,0.68463,0.6799,0.34593,1.72824,1.34382,1.80436,0.000208,0.000208,0.000208
82,25174.9,1.25118,1.05419,1.60175,0.64546,0.64674,0.67286,0.33822,1.73636,1.33046,1.82157,0.0001981,0.0001981,0.0001981
83,25481.1,1.26958,1.05533,1.61402,0.66885,0.65418,0.69073,0.34032,1.7835,1.33421,1.83026,0.0001882,0.0001882,0.0001882
84,25787.1,1.25427,1.04436,1.59714,0.66647,0.60376,0.66039,0.32768,1.76483,1.36914,1.82865,0.0001783,0.0001783,0.0001783
85,26093.4,1.25721,1.03595,1.59498,0.65565,0.64559,0.67377,0.34937,1.69258,1.3492,1.80496,0.0001684,0.0001684,0.0001684
86,26399.7,1.26051,1.04195,1.59445,0.63969,0.68067,0.68985,0.34497,1.75303,1.32315,1.81441,0.0001585,0.0001585,0.0001585
87,26705.7,1.23673,1.02329,1.5762,0.63224,0.65317,0.66908,0.33822,1.73711,1.35018,1.81904,0.0001486,0.0001486,0.0001486
88,27012.8,1.22448,1.03063,1.57972,0.64154,0.6638,0.68146,0.35479,1.69068,1.33053,1.80516,0.0001387,0.0001387,0.0001387
89,27319.7,1.23933,1.01132,1.58901,0.66445,0.6352,0.67106,0.33904,1.77365,1.34542,1.84364,0.0001288,0.0001288,0.0001288
90,27625.7,1.22545,1.01061,1.57293,0.71495,0.67123,0.70541,0.35921,1.73741,1.32754,1.83802,0.0001189,0.0001189,0.0001189
91,305.876,1.37913,1.2249,1.69723,0.63954,0.63925,0.66884,0.30694,1.84125,1.38356,1.90814,0.000406,0.000406,0.000406
92,611.61,1.33428,1.13454,1.6547,0.64043,0.64008,0.67018,0.312,1.84559,1.42823,1.93571,0.0003994,0.0003994,0.0003994
93,918.122,1.33186,1.12293,1.65293,0.70318,0.58224,0.65394,0.3096,1.78576,1.39921,1.90228,0.0003928,0.0003928,0.0003928
94,1223.6,1.32365,1.15839,1.64618,0.68291,0.61112,0.6587,0.3117,1.83779,1.38728,1.90829,0.0003862,0.0003862,0.0003862
95,1529.85,1.33923,1.10987,1.6517,0.67973,0.63046,0.66785,0.32329,1.79697,1.36839,1.89195,0.0003796,0.0003796,0.0003796
96,1835.8,1.30484,1.0884,1.63495,0.67934,0.6075,0.65269,0.31737,1.80474,1.4037,1.90148,0.000373,0.000373,0.000373
97,2142.02,1.31875,1.10082,1.6331,0.71938,0.60611,0.65639,0.32029,1.75139,1.38125,1.89871,0.0003664,0.0003664,0.0003664
98,2447.83,1.3142,1.10708,1.64204,0.669,0.62479,0.63957,0.32053,1.75107,1.39752,1.90985,0.0003598,0.0003598,0.0003598
99,2754.6,1.27736,1.05183,1.6073,0.65114,0.6333,0.67548,0.33399,1.75362,1.34562,1.87098,0.0003532,0.0003532,0.0003532
100,3060.42,1.28819,1.04818,1.621,0.65549,0.65066,0.67632,0.33224,1.73011,1.36983,1.89398,0.0003466,0.0003466,0.0003466
101,3365.9,1.27699,1.07757,1.60698,0.67692,0.65694,0.67775,0.33235,1.73481,1.37913,1.90436,0.00034,0.00034,0.00034
102,3671.84,1.2608,1.03541,1.59159,0.6433,0.64342,0.65702,0.31206,1.81237,1.43633,1.93468,0.0003334,0.0003334,0.0003334
103,3977.54,1.27261,1.04185,1.60178,0.69933,0.59635,0.65208,0.32481,1.74493,1.39236,1.86596,0.0003268,0.0003268,0.0003268
104,4283.49,1.26371,1.05825,1.5968,0.70319,0.60101,0.67347,0.34612,1.72886,1.36307,1.88111,0.0003202,0.0003202,0.0003202
105,4589.87,1.2741,1.05041,1.59998,0.68942,0.58009,0.6556,0.34334,1.68346,1.3553,1.85533,0.0003136,0.0003136,0.0003136
106,4895.81,1.27297,1.0277,1.60013,0.64129,0.63137,0.66143,0.33207,1.79377,1.37333,1.90256,0.000307,0.000307,0.000307
107,5202.44,1.24719,1.02038,1.57432,0.64121,0.65862,0.68487,0.33695,1.77402,1.36165,1.93152,0.0003004,0.0003004,0.0003004
108,5508.27,1.24239,1.00179,1.58336,0.68994,0.63878,0.67803,0.3411,1.75039,1.35471,1.93777,0.0002938,0.0002938,0.0002938
109,5814.51,1.23757,0.99485,1.5661,0.69191,0.63568,0.681,0.33834,1.75327,1.35316,1.91323,0.0002872,0.0002872,0.0002872
110,6120.77,1.26546,1.00459,1.58198,0.6938,0.64641,0.68321,0.33186,1.79944,1.36452,1.89087,0.0002806,0.0002806,0.0002806
111,6427.02,1.22154,0.99037,1.56253,0.69396,0.61251,0.66572,0.32095,1.7963,1.35324,1.93568,0.000274,0.000274,0.000274
112,6734.19,1.22556,0.98672,1.56663,0.65354,0.63269,0.67215,0.33641,1.77324,1.35939,1.95066,0.0002674,0.0002674,0.0002674
113,7041.43,1.23272,0.98517,1.57372,0.75337,0.61352,0.69801,0.351,1.7634,1.32126,1.9145,0.0002608,0.0002608,0.0002608
114,7347.81,1.22982,0.96839,1.56277,0.67595,0.65179,0.70309,0.36121,1.70719,1.30922,1.87664,0.0002542,0.0002542,0.0002542
115,7654.91,1.20839,0.94722,1.54257,0.64641,0.65968,0.68483,0.3446,1.7722,1.3203,1.8724,0.0002476,0.0002476,0.0002476
116,7960.65,1.22936,0.95665,1.56454,0.65643,0.65953,0.66979,0.35162,1.72479,1.33339,1.894,0.000241,0.000241,0.000241
117,8267.05,1.21243,0.94559,1.55141,0.71705,0.62651,0.68335,0.34112,1.77854,1.33731,1.89642,0.0002344,0.0002344,0.0002344
118,8574.22,1.20364,0.93937,1.53634,0.67423,0.64906,0.67086,0.34186,1.78159,1.33553,1.90878,0.0002278,0.0002278,0.0002278
119,8881.26,1.191,0.91601,1.54338,0.621,0.67442,0.67809,0.35791,1.71631,1.30444,1.86791,0.0002212,0.0002212,0.0002212
120,9187.63,1.17637,0.91937,1.53114,0.70804,0.63028,0.68325,0.35947,1.70937,1.30515,1.87419,0.0002146,0.0002146,0.0002146
121,9494.14,1.18822,0.92343,1.53227,0.72581,0.61379,0.68641,0.36431,1.6985,1.30858,1.89792,0.000208,0.000208,0.000208
122,9801.29,1.19047,0.89718,1.53116,0.69238,0.63544,0.67059,0.34492,1.76891,1.33618,1.90424,0.0002014,0.0002014,0.0002014
123,10108.9,1.18528,0.91661,1.52111,0.66512,0.65947,0.66781,0.34343,1.73816,1.33147,1.93045,0.0001948,0.0001948,0.0001948
124,10415.3,1.17854,0.91371,1.51416,0.71033,0.60885,0.66508,0.34532,1.76544,1.34261,1.95377,0.0001882,0.0001882,0.0001882
125,10721.8,1.15357,0.88348,1.49658,0.7004,0.62533,0.67038,0.35245,1.72189,1.34705,1.87853,0.0001816,0.0001816,0.0001816
126,11028.2,1.16973,0.90685,1.50616,0.6558,0.65847,0.67849,0.36193,1.70523,1.29766,1.86793,0.000175,0.000175,0.000175
127,11334.7,1.1524,0.87684,1.48888,0.70825,0.63332,0.6884,0.35557,1.74725,1.31345,1.89018,0.0001684,0.0001684,0.0001684
128,11641.5,1.15729,0.8745,1.50087,0.70621,0.62033,0.67848,0.33826,1.82019,1.35074,1.97243,0.0001618,0.0001618,0.0001618
129,11948.8,1.12452,0.87537,1.48351,0.67078,0.6644,0.68334,0.34801,1.75764,1.34013,1.93622,0.0001552,0.0001552,0.0001552
130,12255,1.14223,0.87161,1.49208,0.71961,0.61598,0.67759,0.35306,1.72472,1.30746,1.93159,0.0001486,0.0001486,0.0001486
131,12561.7,1.13349,0.84124,1.4765,0.68106,0.63578,0.67488,0.35381,1.74016,1.31955,1.94348,0.000142,0.000142,0.000142
132,12868.6,1.123,0.84831,1.47459,0.63167,0.66095,0.66501,0.34444,1.73742,1.35749,1.91621,0.0001354,0.0001354,0.0001354
133,13175.6,1.13418,0.84221,1.47741,0.68097,0.63937,0.67137,0.35769,1.7265,1.32894,1.91796,0.0001288,0.0001288,0.0001288
134,13482.2,1.10772,0.83743,1.46663,0.71489,0.61659,0.67331,0.35638,1.73621,1.33734,1.94488,0.0001222,0.0001222,0.0001222
135,13788.8,1.12455,0.83687,1.47134,0.67372,0.63131,0.65194,0.34827,1.72347,1.36378,1.94792,0.0001156,0.0001156,0.0001156
136,14095.2,1.09241,0.82443,1.46028,0.66281,0.6431,0.67347,0.35279,1.74106,1.3253,1.92685,0.000109,0.000109,0.000109
137,14401.9,1.11124,0.82322,1.47166,0.67785,0.64193,0.67937,0.35793,1.73601,1.31904,1.96129,0.0001024,0.0001024,0.0001024
