epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.5042,2.13536,4.09798,2.45844,0.44509,0.33237,0.24551,0.07339,2.55072,4.86492,2.65719,0.000329114,0.000329114,0.0674177
2,87.0571,2.09894,3.7441,2.40753,0.37877,0.34316,0.20603,0.06636,2.41738,4.65602,2.81667,0.00066025,0.00066025,0.0344155
3,119.899,2.03672,3.58657,2.38826,0.33631,0.29115,0.15175,0.04841,2.51621,5.99555,2.87175,0.000989175,0.000989175,0.00141112
4,151.042,2.04183,3.41508,2.33445,0.56849,0.246,0.2228,0.06833,2.40349,4.94252,2.61527,0.00099005,0.00099005,0.00099005
5,182.737,2.03164,3.46359,2.29429,0.27266,0.4405,0.24075,0.06454,2.54499,4.27318,2.80903,0.000986733,0.000986733,0.000986733
6,214.229,1.96426,3.18448,2.23127,0.09232,0.13598,0.07906,0.02146,3.05174,5.93676,3.60139,0.000983417,0.000983417,0.000983417
7,249.011,1.97375,3.15798,2.22512,0.26117,0.33995,0.24106,0.0603,2.66835,3.71727,2.78246,0.0009801,0.0009801,0.0009801
8,281.648,1.91309,3.01862,2.20655,0.50761,0.46081,0.3877,0.12416,2.40336,3.11013,2.56131,0.000976783,0.000976783,0.000976783
9,315.312,1.89615,3.02862,2.18923,0.45858,0.47801,0.44476,0.15063,2.23396,2.82619,2.39965,0.000973467,0.000973467,0.000973467
10,351.519,1.88167,3.06635,2.18171,0.37043,0.50594,0.43452,0.14715,2.24466,2.96635,2.36871,0.00097015,0.00097015,0.00097015
11,385.214,1.88181,3.09186,2.16001,0.49389,0.38939,0.3527,0.11855,2.41676,3.08935,2.46764,0.000966833,0.000966833,0.000966833
12,415.688,1.83349,2.90714,2.12268,0.54429,0.41349,0.44549,0.14878,2.23328,2.88651,2.41083,0.000963517,0.000963517,0.000963517
13,450.296,1.86129,2.83976,2.13481,0.6137,0.44423,0.44747,0.14284,2.3707,2.82821,2.50392,0.0009602,0.0009602,0.0009602
14,481.74,1.82554,2.83577,2.10595,0.50235,0.49077,0.45459,0.14827,2.3222,2.82992,2.50274,0.000956883,0.000956883,0.000956883
15,512.101,1.8247,2.80985,2.0962,0.41355,0.42906,0.40793,0.14014,2.3718,3.12972,2.54729,0.000953567,0.000953567,0.000953567
16,542.315,1.82254,2.78238,2.07355,0.56785,0.51162,0.47087,0.15991,2.20044,2.75014,2.33279,0.00095025,0.00095025,0.00095025
17,575.005,1.80962,2.77183,2.09553,0.65694,0.48869,0.52139,0.18913,2.10812,2.91276,2.24298,0.000946933,0.000946933,0.000946933
18,609.108,1.76684,2.69342,2.05505,0.54655,0.5283,0.54142,0.17866,2.17734,2.59877,2.3444,0.000943617,0.000943617,0.000943617
19,644.287,1.80343,2.68607,2.07449,0.50942,0.55134,0.51169,0.17943,2.30216,2.60989,2.38818,0.0009403,0.0009403,0.0009403
20,675.407,1.79683,2.64056,2.06872,0.40165,0.61551,0.54725,0.19543,2.18759,2.59701,2.27,0.000936983,0.000936983,0.000936983
21,711.539,1.79142,2.70349,2.05743,0.67681,0.48589,0.53499,0.19449,2.19942,2.56609,2.2808,0.000933667,0.000933667,0.000933667
22,744.522,1.78644,2.58733,2.06687,0.5416,0.57914,0.58401,0.22787,2.16513,2.41132,2.24803,0.00093035,0.00093035,0.00093035
23,777.411,1.7792,2.61906,2.02433,0.49373,0.53659,0.50987,0.17568,2.31513,2.66679,2.37562,0.000927033,0.000927033,0.000927033
24,808.728,1.71532,2.5635,2.01694,0.52812,0.60643,0.57276,0.21692,2.07033,2.4938,2.24631,0.000923717,0.000923717,0.000923717
25,841.135,1.73395,2.54068,2.0127,0.54485,0.35564,0.37626,0.13091,2.44436,2.91964,2.52516,0.0009204,0.0009204,0.0009204
26,872.743,1.72733,2.50191,1.99962,0.70845,0.55251,0.61657,0.22728,2.14428,2.3902,2.22841,0.000917083,0.000917083,0.000917083
27,902.963,1.72192,2.49128,1.99721,0.65013,0.50176,0.49898,0.20145,2.08272,2.59052,2.16134,0.000913767,0.000913767,0.000913767
28,935.152,1.77743,2.58871,2.05128,0.54357,0.57597,0.58572,0.20644,2.23899,2.4915,2.28776,0.00091045,0.00091045,0.00091045
29,968.283,1.74017,2.57248,2.02198,0.51815,0.59378,0.56426,0.20603,2.20295,2.50943,2.3012,0.000907133,0.000907133,0.000907133
