epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,310.18,1.9301,2.91606,2.18495,0.48928,0.14823,0.14563,0.04494,2.43813,5.5363,2.6787,0.000332275,0.000332275,0.0671048
2,617.393,1.90314,2.5928,2.16727,0.34644,0.37931,0.20539,0.07995,2.35505,4.45891,2.61093,0.000659019,0.000659019,0.0340982
3,923.83,1.84252,2.44717,2.11839,0.4958,0.30062,0.29474,0.11337,2.11259,2.42317,2.23889,0.000979163,0.000979163,0.00108498
4,1230.78,1.77174,2.30474,2.06079,0.40723,0.50848,0.3522,0.14409,2.16943,4.33356,2.26977,0.0009703,0.0009703,0.0009703
5,1536.65,1.74489,2.22182,2.05528,0.35,0.5372,0.4235,0.16526,2.1202,2.1749,2.15815,0.0009604,0.0009604,0.0009604
6,1843.11,1.70038,2.18154,1.98775,0.54711,0.36488,0.36986,0.14442,2.20538,2.35778,2.28944,0.0009505,0.0009505,0.0009505
7,2149.23,1.69846,2.10115,1.97389,0.3915,0.4877,0.40785,0.16354,2.07939,2.0423,2.16185,0.0009406,0.0009406,0.0009406
8,2455.68,1.68162,2.08062,1.96155,0.49313,0.51302,0.45137,0.18438,2.04564,2.04921,2.14001,0.0009307,0.0009307,0.0009307
9,2761.97,1.67621,2.04079,1.94308,0.52337,0.44255,0.44686,0.17331,2.10275,2.09883,2.18819,0.0009208,0.0009208,0.0009208
10,3068.57,1.65647,1.98922,1.92889,0.43974,0.55206,0.49952,0.19434,2.10447,1.97235,2.13027,0.0009109,0.0009109,0.0009109
11,3374.69,1.65693,1.98277,1.93029,0.46277,0.54381,0.51328,0.21108,1.96018,1.90848,2.04991,0.000901,0.000901,0.000901
12,3681.28,1.63232,1.91213,1.90759,0.53656,0.46976,0.4959,0.20513,1.98375,1.87854,2.01797,0.0008911,0.0008911,0.0008911
13,3987.16,1.62063,1.89379,1.87994,0.48906,0.56307,0.51215,0.19868,1.99371,1.95667,2.08159,0.0008812,0.0008812,0.0008812
14,4293.99,1.61295,1.8631,1.89905,0.61822,0.46884,0.51871,0.21336,1.98827,1.87417,2.05778,0.0008713,0.0008713,0.0008713
15,4601.14,1.60911,1.83863,1.86524,0.53275,0.51307,0.53362,0.2263,1.97438,1.83331,2.00646,0.0008614,0.0008614,0.0008614
16,4907.91,1.59362,1.83862,1.88465,0.46469,0.45264,0.45326,0.19893,1.90507,1.94358,2.03056,0.0008515,0.0008515,0.0008515
17,5213.35,1.59264,1.85531,1.89542,0.56095,0.55131,0.53881,0.21889,1.97256,1.84915,2.03906,0.0008416,0.0008416,0.0008416
18,5519.72,1.58729,1.83069,1.85805,0.49477,0.57797,0.54618,0.23124,1.96453,1.83924,2.05625,0.0008317,0.0008317,0.0008317
