epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5803.45,1.93218,2.52364,2.15308,0.55091,0.40298,0.3726,0.15504,2.22126,2.94448,2.25662,0.000329114,0.000329114,0.0674177
2,10433.9,1.8135,2.03201,1.99569,0.38957,0.25345,0.16768,0.0619,2.50641,3.27765,2.63657,0.000655889,0.000655889,0.0344112
3,14859.4,1.78128,1.9997,1.9834,0.50771,0.36668,0.30284,0.11674,2.0897,3.08503,2.09951,0.000976064,0.000976064,0.00139801
4,135.072,1.82166,2.03494,2.02524,0.18804,0.23601,0.12053,0.04174,2.32956,9.82504,9.27411,0.0009703,0.0009703,0.0009703
5,270.978,1.74258,1.89984,1.955,0.55958,0.40437,0.35969,0.14798,2.21718,2.24049,2.1726,0.0009604,0.0009604,0.0009604
6,404.23,1.69575,1.87023,1.92641,0.62079,0.42752,0.47871,0.19629,2.07058,1.8485,2.04212,0.0009505,0.0009505,0.0009505
7,539.924,1.72572,1.79654,1.92054,0.49069,0.52102,0.50323,0.2186,2.06682,1.92937,1.98906,0.0009406,0.0009406,0.0009406
8,673.478,1.69366,1.72845,1.90485,0.68204,0.45348,0.51074,0.19829,2.12741,1.81413,2.11746,0.0009307,0.0009307,0.0009307
9,806.275,1.6617,1.70229,1.88417,0.67056,0.44022,0.50064,0.20434,2.13858,1.90347,2.07062,0.0009208,0.0009208,0.0009208
10,948.382,1.66178,1.69224,1.87815,0.52345,0.5329,0.50063,0.19839,2.05136,1.8425,2.00738,0.0009109,0.0009109,0.0009109
11,1094.24,1.63686,1.65963,1.85644,0.53278,0.53931,0.52777,0.209,2.08702,1.77856,2.00506,0.000901,0.000901,0.000901
12,1228.16,1.59994,1.60862,1.82407,0.65127,0.40332,0.46566,0.19306,2.13178,1.89419,2.06999,0.0008911,0.0008911,0.0008911
13,1360.4,1.61019,1.59956,1.81122,0.51263,0.57212,0.55344,0.22221,2.06933,1.70567,1.97708,0.0008812,0.0008812,0.0008812
